,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
0,28.57,37.5,71.71,77.5,76.14,79.0,-4.43,-1.5,147.86,156.5,35.43,43.88,39.29,37.0,-3.86,6.88,42,73.46092,78.65683,152.98181,2,0.6022177934646606,Anadolu Efes
6,66.67,20.0,74.33,66.2,62.33,84.6,12.0,-18.4,136.67,150.8,35.67,33.0,32.33,44.8,3.33,-11.8,49,80.71305,61.901463,141.76706,1,0.8111173510551453,Botaş (K)
7,0.0,100.0,115.0,123.0,123.0,115.0,-8.0,8.0,238.0,238.0,58.0,68.0,68.0,58.0,-10.0,10.0,79,114.2043,121.09606,235.34175,2,0.9601380228996277,Orlando
8,0.0,100.0,86.0,97.0,97.0,86.0,-11.0,11.0,183.0,183.0,35.0,58.0,58.0,35.0,-23.0,23.0,79,86.76845,99.336075,186.60799,2,0.9677464365959167,Washington
9,100.0,0.0,120.0,102.0,102.0,120.0,18.0,-18.0,222.0,222.0,58.0,50.0,50.0,58.0,8.0,-8.0,79,125.218895,104.67351,231.72192,1,0.9761641621589661,Houston
10,100.0,0.0,128.0,106.0,106.0,128.0,22.0,-22.0,234.0,234.0,68.0,66.0,66.0,68.0,2.0,-2.0,79,123.57384,106.15083,229.58679,1,0.9761641621589661,Memphis
11,0.0,0.0,114.0,114.0,114.0,114.0,0.0,0.0,228.0,228.0,68.0,61.0,61.0,68.0,7.0,-7.0,79,120.22247,120.98739,244.56828,1,0.5031957626342773,Dallas
12,50.0,50.0,109.5,113.0,113.0,109.5,-3.5,3.5,222.5,222.5,62.0,56.0,56.0,62.0,6.0,-6.0,79,114.04012,117.07829,228.5834,2,0.5071492195129395,Sacramento
13,0.0,100.0,105.0,125.0,125.0,105.0,-20.0,20.0,230.0,230.0,48.0,58.0,58.0,48.0,-10.0,10.0,79,105.297035,123.55471,225.54562,2,0.9677464365959167,LA Clippers
42,87.5,55.56,112.63,105.0,96.5,100.22,16.13,4.78,209.13,205.22,57.5,50.22,46.13,49.67,11.38,0.56,27,115.77311,99.04349,217.63475,1,0.8435770273208618,ZJ Gold Bulls
43,66.67,44.44,109.78,99.11,101.0,103.67,8.78,-4.56,210.78,202.78,57.33,50.44,49.56,53.11,7.78,-2.67,27,111.89116,101.55934,212.2921,1,0.6657140254974365,Xinjiang Tiger
61,20.0,22.22,76.7,75.0,83.5,82.56,-6.8,-7.56,160.2,157.56,38.1,34.89,43.4,40.78,-5.3,-5.89,53,79.23729,80.131935,157.34537,1,0.5345500707626343,Dongu Promy
67,57.14,22.22,76.57,61.78,71.29,69.56,5.29,-7.78,147.86,131.33,42.0,29.78,35.71,34.78,6.29,-5.0,121,73.94738,62.344257,135.96687,1,0.7905022501945496,Parma
