,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
68,66.67,16.67,72.17,62.5,71.83,72.33,0.33,-9.83,144.0,134.83,33.83,31.83,35.83,35.83,-2.0,-4.0,121,70.83126,64.06195,134.4089,1,0.8031802773475647,Khimki U21
72,14.29,66.67,74.0,87.83,75.14,84.0,-1.14,3.83,149.14,171.83,37.71,40.0,37.14,41.17,0.57,-1.17,42,79.579605,81.25798,162.3094,2,0.8450776934623718,Crvena Zvezda
73,71.43,40.0,77.86,79.8,72.0,81.2,5.86,-1.4,149.86,161.0,37.71,38.2,33.86,39.0,3.86,-0.8,42,81.3862,73.519455,155.83478,1,0.7713472843170166,Bayern
74,42.86,28.57,79.0,73.14,80.86,76.0,-1.86,-2.86,159.86,149.14,35.57,36.14,42.0,38.86,-6.43,-2.71,42,76.0726,79.28107,157.86328,1,0.6821597814559937,Olympiacos
75,50.0,14.29,76.0,76.43,76.67,86.29,-0.67,-9.86,152.67,162.71,41.33,40.14,36.67,45.29,4.67,-5.14,42,83.322014,74.8203,159.85724,1,0.8003498911857605,Asvel
76,75.0,12.5,83.13,76.88,71.75,80.13,11.38,-3.25,154.88,157.0,44.0,37.88,35.13,41.0,8.88,-3.13,42,82.64923,74.11745,159.01453,1,0.8815685510635376,Barcelona
87,100.0,0.0,100.0,93.0,93.0,100.0,7.0,-7.0,193.0,193.0,53.0,57.0,57.0,53.0,-4.0,4.0,79,101.67287,95.62186,195.64366,1,0.9729622006416321,New York
90,0.0,100.0,103.0,124.0,124.0,103.0,-21.0,21.0,227.0,227.0,46.0,59.0,59.0,46.0,-13.0,13.0,79,102.485886,122.133766,222.44994,2,0.9677464365959167,Oklahoma
91,100.0,0.0,126.0,95.0,95.0,126.0,31.0,-31.0,221.0,221.0,69.0,50.0,50.0,69.0,19.0,-19.0,79,123.79682,96.06077,226.50562,1,0.9761641621589661,Denver
92,50.0,50.0,73.5,78.5,80.75,78.25,-7.25,0.25,154.25,156.75,38.75,38.5,41.75,37.75,-3.0,0.75,40,73.566925,79.54197,153.5966,2,0.5143644213676453,Lietkabelis
93,80.0,60.0,85.0,81.2,75.6,75.2,9.4,6.0,160.6,156.4,45.4,38.2,37.4,41.2,8.0,-3.0,113,84.48371,78.025406,158.63544,1,0.671117901802063,Akhisar BS
95,0.0,100.0,57.0,69.0,61.0,46.0,-4.0,23.0,118.0,115.0,33.0,36.0,42.0,22.0,-9.0,14.0,114,51.770008,65.547195,119.15292,2,0.9601380228996277,Fenerbahçe G.
96,0.0,100.0,80.0,97.0,81.0,79.0,-1.0,18.0,161.0,176.0,35.0,55.0,35.0,42.0,0.0,13.0,112,82.21799,93.25559,175.45992,2,0.9505575895309448,Ted Ankara
97,0.0,0.0,91.0,78.33,105.67,100.0,-14.67,-21.67,196.67,178.33,41.33,38.67,54.67,47.67,-13.33,-9.0,15,99.76378,95.84767,196.24458,2,0.5427326560020447,Giessen 46ers
98,25.0,66.67,76.75,78.67,85.75,78.0,-9.0,0.67,162.5,156.67,40.75,43.0,51.5,38.67,-10.75,4.33,9,77.662315,85.90477,162.6009,2,0.8173571825027466,Cibona
99,57.14,80.0,75.71,80.8,72.0,72.2,3.71,8.6,147.71,153.0,40.14,35.0,36.14,35.6,4.0,-0.6,88,71.21042,74.91494,142.35023,2,0.7538589239120483,Spojnia
100,0.0,33.33,59.5,80.0,79.0,79.0,-19.5,1.0,138.5,159.0,21.5,41.67,40.0,34.33,-18.5,7.33,58,64.49405,79.532646,143.08885,2,0.8219330906867981,Tizona
101,66.67,25.0,80.33,76.0,76.67,78.0,3.67,-2.0,157.0,154.0,39.33,34.0,37.0,32.0,2.33,2.0,58,79.41746,74.94618,154.3615,1,0.7708656191825867,Melilla
102,50.0,50.0,71.5,77.0,70.75,78.5,0.75,-1.5,142.25,155.5,34.25,36.5,38.0,43.5,-3.75,-7.0,58,73.963455,73.44669,147.20518,2,0.5000513792037964,Leyma Coruna
103,100.0,33.33,85.33,69.0,68.67,74.33,16.67,-5.33,154.0,143.33,42.33,35.33,29.33,34.0,13.0,1.33,58,82.34293,67.80727,148.4788,1,0.9474880695343018,Breogan
104,25.0,25.0,76.5,66.75,82.0,73.75,-5.5,-7.0,158.5,140.5,35.25,38.5,47.5,39.25,-12.25,-0.75,58,75.853,76.693634,155.12712,1,0.5188595056533813,Bahia San Agustin
105,75.0,0.0,82.25,66.33,68.5,80.67,13.75,-14.33,150.75,147.0,36.25,32.33,33.5,38.0,2.75,-5.67,58,82.49889,66.89709,149.18459,1,0.9071308970451355,Fundacion
106,50.0,75.0,77.5,83.0,72.75,70.5,4.75,12.5,150.25,153.5,38.0,42.0,37.75,34.75,0.25,7.25,58,73.73804,79.696495,152.24518,2,0.7635690569877625,Amics Castello
107,0.0,75.0,71.5,79.0,78.5,69.5,-7.0,9.5,150.0,148.5,34.5,41.25,46.0,34.25,-11.5,7.0,58,71.41213,81.62018,151.96754,2,0.9032149314880371,Penas Huesca
108,25.0,33.33,75.5,70.0,77.25,76.33,-1.75,-6.33,152.75,146.33,39.25,35.33,42.0,42.0,-2.75,-6.67,58,74.62542,73.44067,149.17645,2,0.5952808260917664,Girona
109,100.0,50.0,101.0,71.0,95.0,71.5,6.0,-0.5,196.0,142.5,51.0,33.5,49.0,39.0,2.0,-5.5,25,85.09374,85.75576,176.54454,1,0.9456886649131775,Lions
111,100.0,0.0,74.0,66.5,64.0,79.0,10.0,-12.5,138.0,145.5,32.0,31.0,35.0,45.5,-3.0,-14.5,25,75.15324,64.60135,138.84352,1,0.9761641621589661,Riders
114,25.0,25.0,67.63,66.75,76.63,78.0,-9.0,-11.25,144.25,144.75,34.5,34.5,39.88,36.0,-5.38,-1.5,73,71.47515,72.42948,146.29248,1,0.500275731086731,Atenas
115,57.14,50.0,78.86,82.0,78.57,83.33,0.29,-1.33,157.43,165.33,38.0,36.33,37.43,37.33,0.57,-1.0,73,81.29663,79.29283,161.04405,1,0.6382834911346436,Regatas
116,71.43,80.0,83.0,82.8,81.71,77.2,1.29,5.6,164.71,160.0,41.86,36.2,35.57,33.4,6.29,2.8,73,78.90579,83.71723,161.02216,2,0.6188977360725403,Instituto
117,50.0,16.67,82.5,78.83,73.38,87.83,9.13,-9.0,155.88,166.67,36.88,36.67,30.5,43.67,6.38,-7.0,73,90.27899,77.078995,167.1704,1,0.8003498911857605,Olimpico
118,42.86,66.67,72.29,84.17,72.43,73.33,-0.14,10.83,144.71,157.5,34.86,39.83,37.71,33.83,-2.86,6.0,73,73.349464,81.7619,151.58568,2,0.6898359656333923,Obera
119,71.43,80.0,82.29,83.6,72.57,74.8,9.71,8.8,154.86,158.4,42.71,43.2,35.86,35.0,6.86,8.2,73,79.65395,78.59087,156.61821,2,0.6188977360725403,Quimsa
120,42.86,66.67,75.86,80.67,76.86,76.5,-1.0,4.17,152.71,157.17,37.14,40.0,36.14,39.67,1.0,0.33,73,76.017006,76.92637,152.48349,2,0.6898359656333923,Comunicaciones
121,50.0,20.0,82.5,72.8,83.88,81.2,-1.38,-8.4,166.38,154.0,38.0,32.6,40.25,42.6,-2.25,-10.0,73,83.96652,78.82805,161.1501,1,0.7664270401000977,Libertad
122,12.5,20.0,70.25,70.4,85.38,76.6,-15.13,-6.2,155.63,147.0,33.63,35.6,43.0,41.0,-9.38,-5.4,73,77.67025,79.29447,154.6385,2,0.5184804797172546,La Union
123,66.67,71.43,74.5,81.86,66.17,69.71,8.33,12.14,140.67,151.57,36.0,40.57,30.5,32.71,5.5,7.86,73,70.10616,73.91741,142.87056,2,0.6215498447418213,Corrientes
124,100.0,60.0,89.5,84.4,64.5,77.2,25.0,7.2,154.0,161.6,43.17,42.4,30.67,39.2,12.5,3.2,7,88.70223,73.725426,160.83165,1,0.9384377598762512,Zadar
125,33.33,16.67,81.5,75.17,82.83,88.83,-1.33,-13.67,164.33,164.0,39.5,39.5,40.0,46.33,-0.5,-6.83,7,88.62982,78.986725,167.69974,1,0.6919112801551819,Dubrava
126,42.86,80.0,76.14,92.4,78.57,84.8,-2.43,7.6,154.71,177.2,38.14,45.4,37.43,41.2,0.71,4.2,54,79.187035,85.603645,169.51245,2,0.7786180377006531,Pirot
128,100.0,0.0,88.8,73.5,70.6,90.5,18.2,-17.0,159.4,164.0,45.8,45.0,38.4,48.75,7.4,-3.75,106,90.70192,72.29465,164.66446,1,0.9761641621589661,BK Samara
129,50.0,75.0,84.0,84.75,83.0,80.5,1.0,4.25,167.0,165.25,45.5,40.25,41.5,47.25,4.0,-7.0,19,81.81062,86.884384,167.62654,2,0.7635690569877625,Kumanovo
132,80.0,25.0,76.0,63.5,58.2,66.25,17.8,-2.75,134.2,129.75,37.4,31.75,30.4,34.25,7.0,-2.5,71,70.11107,61.739418,132.57503,1,0.8032753467559814,Alcobendas (K)
133,50.0,20.0,89.5,76.2,85.0,91.6,4.5,-15.4,174.5,167.8,41.0,38.6,35.75,44.4,5.25,-5.8,24,93.784515,80.470085,175.54884,1,0.7887782454490662,Lulea
134,100.0,0.0,78.0,44.75,44.75,84.75,33.25,-40.0,122.75,129.5,38.75,21.25,24.0,40.0,14.75,-18.75,78,85.90233,44.161922,127.50641,1,0.9761641621589661,Kibirkstis (K)
135,75.0,50.0,86.5,74.75,79.5,76.25,7.0,-1.5,166.0,151.0,43.5,36.0,38.0,37.75,5.5,-1.75,64,81.71766,76.76149,159.37018,1,0.7493208050727844,Benfica
136,0.0,66.67,43.0,63.67,87.0,66.0,-44.0,-2.33,130.0,129.67,16.0,29.0,46.0,36.67,-30.0,-7.67,84,46.615963,77.94873,126.8139,2,0.9103402495384216,Coimbröes (K)
139,12.5,0.0,60.38,59.88,77.13,76.88,-16.75,-17.0,137.5,136.75,35.0,28.63,38.0,38.38,-3.0,-9.75,121,70.27084,67.00168,138.63217,1,0.7380368113517761,UNICS U21
140,100.0,0.0,91.5,36.25,67.0,96.5,24.5,-60.25,158.5,132.75,44.25,18.5,33.5,49.25,10.75,-30.75,105,100.625175,50.103783,145.05371,1,0.9761641621589661,Kyiv Basket
141,25.0,75.0,73.0,83.75,85.0,71.0,-12.0,12.75,158.0,154.75,35.25,44.75,39.0,33.25,-3.75,11.5,80,70.91928,89.850975,160.8047,2,0.8439114689826965,Brasilia
