,g_hwr,g_awr,g_hspa,g_aspa,g_hrpa,g_arpa,g_hda,g_ada,g_hts,g_ats,g_hhspa,g_haspa,g_hhrpa,g_harpa,g_hhda,g_hada,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
91,91.67,58.33,69.75,66.17,52.75,58.33,17.0,7.83,122.5,124.5,36.67,34.08,28.33,30.33,8.33,3.75,80.0,20.0,69.6,61.4,51.2,62.4,18.4,-1.0,120.8,123.8,35.6,29.8,28.2,30.8,7.4,-1.0,92,64.96045,55.90719,118.62644,1,0.9644060134887695,Barcelona (K)
93,50.0,50.0,69.75,78.25,73.5,79.25,-3.75,-1.0,143.25,157.5,36.5,43.5,32.25,39.25,4.25,4.25,100.0,0.0,82.0,68.5,73.0,81.0,9.0,-12.5,155.0,149.5,46.0,36.5,28.0,39.0,18.0,-2.5,100,80.23219,67.009605,146.61394,1,0.9988090991973877,Ramat Gan (K)
94,100.0,100.0,76.0,84.2,68.0,68.4,8.0,15.8,144.0,152.6,39.67,44.2,37.0,35.0,2.67,9.2,100.0,100.0,74.5,85.0,65.0,67.67,9.5,17.33,139.5,152.67,37.0,47.67,36.0,34.67,1.0,13.0,125,72.58302,75.02229,148.35048,1,0.8623890280723572,Forli
95,50.0,0.0,71.75,68.5,70.25,82.75,1.5,-14.25,142.0,151.25,36.5,38.0,37.0,51.75,-0.5,-13.75,33.33,0.0,70.67,67.5,70.67,78.0,0.0,-10.5,141.33,145.5,35.33,37.0,37.33,50.0,-2.0,-13.0,125,75.37273,67.7536,142.84267,1,0.9865857362747192,Leonis Roma
96,20.0,75.0,61.2,73.0,72.6,74.0,-11.4,-1.0,133.8,147.0,30.2,44.5,37.2,35.5,-7.0,9.0,50.0,50.0,66.5,68.0,74.5,73.0,-8.0,-5.0,141.0,141.0,31.5,44.5,36.5,32.0,-5.0,12.5,125,64.03769,70.88495,135.09651,2,0.9809349179267883,San Severo
97,20.0,50.0,69.4,69.5,75.2,69.5,-5.8,0.0,144.6,139.0,35.2,39.0,38.4,39.0,-3.2,0.0,100.0,0.0,81.0,59.0,70.0,79.0,11.0,-20.0,151.0,138.0,40.0,32.0,35.0,42.0,5.0,-10.0,125,79.42779,66.13892,144.99327,1,0.9963588118553162,Pistoia
100,75.0,25.0,79.75,83.5,78.75,79.25,1.0,4.25,158.5,162.75,38.25,43.0,38.5,40.25,-0.25,2.75,100.0,0.0,79.0,82.0,74.5,90.0,4.5,-8.0,153.5,172.0,40.0,40.0,37.0,43.0,3.0,-3.0,125,88.9152,77.55303,165.34491,1,0.9971113204956055,Monferrato
101,25.0,83.33,81.0,83.83,83.5,77.5,-2.5,6.33,164.5,161.33,39.75,41.0,42.75,39.0,-3.0,2.0,50.0,100.0,83.0,87.75,81.5,76.5,1.5,11.25,164.5,164.25,38.5,40.5,44.0,39.0,-5.5,1.5,125,78.54956,90.35198,170.76396,2,0.9736299514770508,Verona
102,40.0,0.0,76.0,66.33,79.6,74.33,-3.6,-8.0,155.6,140.67,39.8,32.67,43.0,35.67,-3.2,-3.0,33.33,0.0,76.33,62.0,80.67,65.0,-4.33,-3.0,157.0,127.0,40.33,29.0,44.33,33.0,-4.0,-4.0,125,75.67838,71.27164,148.0978,1,0.9428701996803284,Mantova
103,50.0,75.0,77.25,84.5,80.75,66.75,-3.5,17.75,158.0,151.25,40.75,41.25,45.5,35.0,-4.75,6.25,100.0,66.67,87.0,83.33,83.0,71.0,4.0,12.33,170.0,154.33,35.0,39.67,38.0,38.67,-3.0,1.0,125,78.60974,84.32757,163.97714,1,0.9101753234863281,Treviglio
