,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
156,25.0,75.0,53.25,67.5,74.0,50.5,-20.75,17.0,127.25,118.0,30.5,30.75,39.0,27.0,-8.5,3.75,13,48.996822,74.149185,122.98652,2,0.8439114689826965,Rapid (K)
157,75.0,100.0,69.5,78.67,69.5,47.33,0.0,31.33,139.0,126.0,38.75,41.0,34.75,26.0,4.0,15.0,13,58.92142,78.154076,133.25412,2,0.8198079466819763,Ol. Brasov (K)
158,0.0,33.33,48.0,65.33,54.0,66.67,-6.0,-1.33,102.0,132.0,23.0,35.0,28.0,34.0,-5.0,1.0,13,53.299816,61.214275,113.97471,2,0.7874813675880432,Agronomia (K)
159,80.0,50.0,79.6,72.5,68.4,70.83,11.2,1.67,148.0,143.33,39.6,34.33,36.2,35.17,3.4,-0.83,13,74.25299,68.127266,143.27818,1,0.7493208050727844,Dynamo MGTU
160,100.0,80.0,77.75,74.4,69.75,69.0,8.0,5.4,147.5,143.4,39.25,35.2,36.0,33.8,3.25,1.4,13,72.484695,69.705246,141.24829,1,0.875460684299469,Tambov
161,20.0,0.0,69.8,69.5,71.2,91.75,-1.4,-22.25,141.0,161.25,34.4,35.0,30.4,45.0,4.0,-10.0,13,87.23945,72.86824,163.04741,1,0.7516947388648987,BC MitsuBasket
163,84.62,38.46,81.08,75.31,58.38,74.15,22.69,1.15,139.46,149.46,39.23,34.31,25.46,36.38,13.77,-2.08,13,78.24539,62.573982,143.12132,1,0.8422521948814392,Lokomotiv U21
164,72.73,14.29,74.64,66.43,63.36,88.71,11.27,-22.29,138.0,155.14,38.45,35.29,28.09,44.86,10.36,-9.57,13,80.06598,63.343998,148.67351,1,0.8390226364135742,Zenit U21
165,71.43,57.14,78.71,68.0,68.71,68.71,10.0,-0.71,147.43,136.71,36.57,34.0,36.0,37.57,0.57,-3.57,13,73.79675,68.24052,139.55927,1,0.7493208050727844,Nizhny U21
166,71.43,14.29,71.29,62.71,70.71,71.43,0.57,-8.71,142.0,134.14,35.0,30.86,34.29,36.71,0.71,-5.86,13,71.474655,65.59095,136.20314,1,0.8207802176475525,Khimki U21
167,11.11,0.0,59.22,58.78,74.11,73.89,-14.89,-15.11,133.33,132.67,33.44,28.56,36.89,36.44,-3.44,-7.89,13,69.064674,65.77653,138.86253,1,0.7029237151145935,UNICS U21
169,80.0,0.0,76.8,35.2,48.6,94.4,28.2,-59.2,125.4,129.6,40.8,16.2,24.6,50.0,16.2,-33.8,13,94.609505,44.321667,131.78192,1,0.9071308970451355,Good Angels(K)
171,100.0,0.0,92.4,38.8,63.4,96.4,29.0,-57.6,155.8,135.2,45.6,20.0,32.0,49.6,13.6,-29.6,13,100.70458,47.530834,145.63576,1,0.9761641621589661,Kyiv Basket
172,75.0,33.33,76.25,58.33,55.0,59.33,21.25,-1.0,131.25,117.67,36.25,27.33,22.0,24.67,14.25,2.67,13,67.91625,54.362656,120.76754,1,0.8032753467559814,Vera Cruz (K)
