,g_hwr,g_awr,g_hspa,g_aspa,g_hrpa,g_arpa,g_hda,g_ada,g_hts,g_ats,g_hhspa,g_haspa,g_hhrpa,g_harpa,g_hhda,g_hada,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
0,46.67,50.0,76.73,79.57,77.8,77.79,-1.07,1.79,154.53,157.36,39.07,43.36,40.2,37.0,-1.13,6.36,28.57,37.5,71.71,77.5,76.14,79.0,-4.43,-1.5,147.86,156.5,35.43,43.88,39.29,37.0,-3.86,6.88,54,73.6874,75.95202,149.66284,2,0.6897333264350891,Anadolu Efes
1,61.54,26.67,73.92,74.0,72.92,75.8,1.0,-1.8,146.85,149.8,33.62,37.47,35.38,38.47,-1.77,-1.0,40.0,28.57,73.4,73.71,76.2,76.86,-2.8,-3.14,149.6,150.57,35.2,36.14,42.2,40.14,-7.0,-4.0,54,77.16062,76.467834,152.93988,1,0.6018474698066711,Zenit
2,46.67,66.67,76.73,79.27,77.8,70.8,-1.07,8.47,154.53,150.07,39.07,41.67,40.2,35.47,-1.13,6.2,28.57,66.67,71.71,76.17,76.14,70.0,-4.43,6.17,147.86,146.17,35.43,40.17,39.29,36.83,-3.86,3.33,54,69.97338,78.501915,150.51732,2,0.9098184704780579,Anadolu Efes
3,33.33,35.71,76.4,77.57,76.27,80.14,0.13,-2.57,152.67,157.71,38.27,36.79,38.47,39.71,-0.2,-2.93,50.0,33.33,77.17,76.83,72.67,85.5,4.5,-8.67,149.83,162.33,40.17,36.0,36.17,42.0,4.0,-6.0,54,84.769226,73.35612,159.36661,2,0.5598732233047485,M. Tel Aviv
4,35.71,73.33,75.64,82.87,78.36,75.8,-2.71,7.07,154.0,158.67,39.43,42.07,39.07,36.53,0.36,5.53,57.14,57.14,78.0,81.29,77.71,78.14,0.29,3.14,155.71,159.43,41.57,41.71,38.71,38.43,2.86,3.29,54,74.05974,80.863464,154.40282,2,0.7869925498962402,Asvel
5,53.33,35.71,79.67,77.07,76.93,82.5,2.73,-5.43,156.6,159.57,39.4,37.21,38.73,42.86,0.67,-5.64,85.71,28.57,87.71,76.71,79.0,82.57,8.71,-5.86,166.71,159.29,43.86,37.43,39.86,41.71,4.0,-4.29,54,90.03871,80.31937,169.15417,1,0.9623292684555054,Real Madrid
6,100.0,37.5,85.44,75.13,73.78,77.25,11.67,-2.13,159.22,152.38,40.67,39.38,37.22,41.75,3.44,-2.38,100.0,33.33,88.25,67.0,77.5,71.0,10.75,-4.0,165.75,138.0,42.75,33.67,38.25,41.0,4.5,-7.33,52,79.63296,72.26322,150.38605,1,0.9638292789459229,Virtus Bologna
7,37.5,0.0,77.25,81.43,77.88,94.14,-0.63,-12.71,155.13,175.57,39.38,42.86,39.5,49.43,-0.13,-6.57,75.0,0.0,81.5,81.33,72.75,94.0,8.75,-12.67,154.25,175.33,41.5,44.0,38.75,51.67,2.75,-7.67,52,89.18986,74.99365,162.82681,1,0.9741123914718628,Nanterre
8,33.33,100.0,82.67,83.0,84.33,78.67,-1.67,4.33,167.0,161.67,41.0,42.33,43.67,37.67,-2.67,4.67,50.0,100.0,86.0,86.0,84.0,85.0,2.0,1.0,170.0,171.0,46.0,44.0,40.5,38.0,5.5,6.0,30,85.48071,87.04934,172.38417,2,0.9530558586120605,Szombathely
9,33.33,66.67,81.33,78.33,83.0,71.67,-1.67,6.67,164.33,150.0,40.0,40.0,42.0,42.67,-2.0,-2.67,0.0,100.0,81.0,77.0,84.0,75.0,-3.0,2.0,165.0,152.0,35.0,42.0,39.0,46.0,-4.0,-4.0,30,73.37983,85.46741,163.3868,2,0.9974948167800903,Peristeri
10,75.0,50.0,76.0,87.5,71.25,86.5,4.75,1.0,147.25,174.0,37.75,42.5,32.0,44.0,5.75,-1.5,100.0,0.0,73.5,94.0,65.0,98.0,8.5,-4.0,138.5,192.0,36.0,49.0,29.5,46.0,6.5,3.0,30,86.426094,81.82123,169.5373,1,0.9980539083480835,Igokea
11,33.33,66.67,76.67,97.0,88.67,80.0,-12.0,17.0,165.33,177.0,38.0,50.0,43.0,44.67,-5.0,5.33,100.0,0.0,79.0,98.0,74.0,99.0,5.0,-1.0,153.0,197.0,39.0,53.0,33.0,52.0,6.0,1.0,30,91.55324,81.16022,173.90442,1,0.9865100979804993,Darüşşafaka
12,66.67,33.33,85.0,84.33,84.67,89.67,0.33,-5.33,169.67,174.0,50.33,40.33,41.0,50.0,9.33,-9.67,100.0,0.0,92.0,74.0,81.0,79.0,11.0,-5.0,173.0,153.0,48.0,33.0,38.0,39.0,10.0,-6.0,30,87.33975,75.39679,165.56955,1,0.9987103939056396,Enel Brindisi
13,61.54,28.57,84.62,82.0,79.23,83.71,5.38,-1.71,163.85,165.71,40.15,38.71,39.31,39.64,0.85,-0.93,50.0,28.57,87.17,84.0,80.17,84.57,7.0,-0.57,167.33,168.57,44.0,40.0,41.33,40.29,2.67,-0.29,89,90.53097,85.752144,174.50002,1,0.916154682636261,Málaga
14,21.43,15.38,74.07,72.85,84.64,80.62,-10.57,-7.77,158.71,153.46,36.5,35.08,39.71,38.23,-3.21,-3.15,14.29,0.0,76.86,69.0,83.14,80.83,-6.29,-11.83,160.0,149.83,38.86,33.17,39.29,40.67,-0.43,-7.5,89,81.75742,77.85235,159.38486,1,0.5842010378837585,Gran Canaria
15,60.0,50.0,83.0,80.0,76.8,75.0,6.2,5.0,159.8,155.0,42.2,41.0,38.6,38.25,3.6,2.75,100.0,0.0,80.0,70.0,63.0,70.0,17.0,0.0,143.0,140.0,45.0,33.0,29.0,31.0,16.0,2.0,82,74.69047,65.37195,140.84328,1,0.999485969543457,Bourg Basket
16,14.29,85.71,79.86,87.14,90.57,80.0,-10.71,7.14,170.43,167.14,39.29,45.43,44.86,35.0,-5.57,10.43,0.0,66.67,76.33,83.33,83.67,85.0,-7.33,-1.67,160.0,168.33,37.33,44.0,42.33,36.0,-5.0,8.0,22,78.51186,88.22425,165.9999,2,0.9175622463226318,Chemnitz 99
17,85.71,33.33,93.14,75.67,80.86,81.67,12.29,-6.0,174.0,157.33,47.29,37.0,37.43,43.83,9.86,-6.83,100.0,33.33,93.0,72.67,82.0,78.33,11.0,-5.67,175.0,151.0,46.0,33.33,36.75,46.0,9.25,-12.67,22,90.47156,76.39656,167.81447,1,0.9884511232376099,Crailsheim
18,42.86,28.57,83.43,73.29,88.0,80.71,-4.57,-7.43,171.43,154.0,42.57,38.43,46.71,40.29,-4.14,-1.86,66.67,66.67,83.67,76.67,76.33,76.0,7.33,0.67,160.0,152.67,40.33,37.33,44.0,36.0,-3.67,1.33,22,80.521545,76.438934,157.11719,2,0.6097123622894287,Medi Bayreuth
20,37.5,37.5,74.75,71.25,79.38,71.0,-4.63,0.25,154.13,142.25,38.88,33.0,38.88,38.5,0.0,-5.5,75.0,25.0,80.5,69.25,75.0,73.0,5.5,-3.75,155.5,142.25,40.0,29.0,35.0,38.0,5.0,-9.0,77,76.675186,71.80469,145.6571,1,0.9499545693397522,Melilla
21,75.0,28.57,74.0,72.86,66.88,84.71,7.13,-11.86,140.88,157.57,36.88,35.0,33.63,45.57,3.25,-10.57,60.0,25.0,69.6,74.75,68.6,86.0,1.0,-11.25,138.2,160.75,34.0,40.0,36.0,45.25,-2.0,-5.25,77,80.12304,69.14708,148.99335,1,0.8865361213684082,Leyma Coruna
22,12.5,66.67,69.38,80.11,80.75,70.56,-11.38,9.56,150.13,150.67,35.38,40.22,41.13,35.67,-5.75,4.56,0.0,60.0,71.33,82.6,80.0,72.6,-8.67,10.0,151.33,155.2,32.67,42.0,45.67,35.4,-13.0,6.6,77,68.64947,86.21985,155.95323,2,0.9815541505813599,Penas Huesca
23,37.5,14.29,78.13,72.86,81.25,83.57,-3.13,-10.71,159.38,156.43,36.0,37.43,42.75,40.0,-6.75,-2.57,40.0,0.0,76.6,69.0,80.0,81.0,-3.4,-12.0,156.6,150.0,35.4,34.75,45.2,37.5,-9.8,-2.75,77,81.2153,73.65172,153.90327,1,0.9236323237419128,Bahia San Agustin
24,66.67,33.33,77.33,67.0,69.67,73.22,7.67,-6.22,147.0,140.22,39.44,34.67,34.22,36.67,5.22,-2.0,40.0,20.0,78.2,67.8,74.4,74.4,3.8,-6.6,152.6,142.2,38.0,38.0,38.6,38.6,-0.6,-0.6,77,79.90546,72.01045,153.18372,1,0.6980525255203247,Amics Castello
25,88.89,42.86,83.22,74.0,72.0,77.71,11.22,-3.71,155.22,151.71,37.78,39.0,35.78,40.43,2.0,-1.43,80.0,66.67,82.2,72.0,70.2,78.33,12.0,-6.33,152.4,150.33,36.2,38.67,35.2,38.33,1.0,0.33,77,79.12268,67.388405,145.9609,1,0.5423524975776672,Fundacion
26,55.56,57.14,75.78,71.43,74.67,70.43,1.11,1.0,150.44,141.86,39.67,36.43,35.22,36.43,4.44,0.0,25.0,33.33,70.75,70.0,80.75,76.33,-10.0,-6.33,151.5,146.33,36.75,35.33,37.75,42.0,-1.0,-6.67,77,69.8783,78.506615,149.49239,2,0.7342274188995361,Almansa
32,27.27,9.09,73.0,73.36,81.73,80.91,-8.73,-7.55,154.73,154.27,34.73,36.36,41.18,38.73,-6.45,-2.36,40.0,0.0,73.8,74.6,79.4,84.2,-5.6,-9.6,153.2,158.8,33.0,36.8,40.6,38.0,-7.6,-1.2,104,81.093575,76.749756,155.83012,1,0.9596014022827148,Pato Basquete
33,27.27,16.67,74.09,75.42,82.82,86.83,-8.73,-11.42,156.91,162.25,33.55,35.25,37.27,42.67,-3.73,-7.42,20.0,16.67,69.4,76.0,80.0,86.0,-10.6,-10.0,149.4,162.0,34.0,35.67,37.2,44.0,-3.2,-8.33,104,79.132126,74.6922,154.45317,2,0.7354915738105774,C Mourao
34,91.67,9.09,91.08,71.55,70.25,84.82,20.83,-13.27,161.33,156.36,46.33,32.09,35.5,41.45,10.83,-9.36,100.0,0.0,94.67,69.6,69.67,77.8,25.0,-8.2,164.33,147.4,47.33,31.8,37.5,39.0,9.83,-7.2,104,93.36354,70.25361,160.61717,1,0.9997321963310242,Flamengo
37,35.29,64.29,74.76,79.5,74.88,75.07,-0.12,4.43,149.65,154.57,36.71,38.21,37.29,35.5,-0.59,2.71,37.5,62.5,74.25,79.63,76.38,70.25,-2.13,9.38,150.63,149.88,37.25,39.38,36.25,32.88,1.0,6.5,94,71.449745,80.690315,150.92052,2,0.8054974675178528,Comunicaciones
