,g_hwr,g_awr,g_hspa,g_aspa,g_hrpa,g_arpa,g_hda,g_ada,g_hts,g_ats,g_hhspa,g_haspa,g_hhrpa,g_harpa,g_hhda,g_hada,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,league,es,ds,ts,ms,ms_prob,match
38,31.25,35.71,77.81,79.29,81.69,81.64,-3.88,-2.36,159.5,160.93,37.0,35.0,39.94,39.07,-2.94,-4.07,44.44,42.86,80.44,81.14,82.44,83.0,-2.0,-1.86,162.89,164.14,37.56,36.29,39.44,37.43,-1.89,-1.14,94,84.30668,87.89109,173.93633,2,0.608783483505249,Libertad
39,75.0,45.45,76.25,76.64,68.94,76.91,7.31,-0.27,145.19,153.55,36.13,38.09,33.63,39.55,2.5,-1.45,71.43,20.0,74.43,70.4,65.86,76.6,8.57,-6.2,140.29,147.0,35.71,35.6,30.57,41.0,5.14,-5.4,94,74.95242,65.675766,143.2745,1,0.6796433925628662,Corrientes
40,35.29,71.43,71.65,75.64,74.53,72.29,-2.88,3.36,146.18,147.93,33.53,36.57,37.18,32.29,-3.65,4.29,37.5,83.33,73.25,81.67,73.38,75.0,-0.13,6.67,146.63,156.67,33.63,38.17,37.88,32.17,-4.25,6.0,94,73.24127,81.9615,152.78716,2,0.9329521059989929,Obera
41,82.35,46.15,82.94,73.54,72.35,75.0,10.59,-1.46,155.29,148.54,42.82,36.38,34.59,36.62,8.24,-0.23,75.0,71.43,81.75,79.57,72.38,74.57,9.38,5.0,154.13,154.14,42.13,39.57,35.88,39.43,6.25,0.14,94,77.65952,76.350555,152.23158,2,0.6542999148368835,Quimsa
42,29.41,57.14,70.35,81.29,81.59,75.5,-11.24,5.79,151.94,156.79,33.82,39.64,38.65,37.0,-4.82,2.64,22.22,66.67,68.67,81.5,77.33,75.33,-8.67,6.17,146.0,156.83,34.89,42.0,39.89,35.5,-5.0,6.5,94,68.38891,84.372894,155.30269,2,0.9552335739135742,Atenas
43,58.82,15.38,77.18,78.69,76.71,92.69,0.47,-14.0,153.88,171.38,37.29,36.77,36.06,46.0,1.24,-9.23,62.5,14.29,80.63,80.14,81.0,89.0,-0.38,-8.86,161.63,169.14,39.88,36.86,37.13,43.57,2.75,-6.71,94,87.520355,83.219444,172.0423,1,0.9216878414154053,Instituto
44,0.0,70.0,69.89,76.2,90.0,68.1,-20.11,8.1,159.89,144.3,35.56,40.1,47.22,33.4,-11.67,6.7,0.0,75.0,64.67,80.5,86.0,68.5,-21.33,12.0,150.67,149.0,33.67,41.5,47.0,34.25,-13.33,7.25,3,64.83211,87.75367,152.16388,2,0.9970220923423767,Triglav
45,68.75,38.46,82.5,77.31,76.5,80.15,6.0,-2.85,159.0,157.46,42.88,40.38,37.19,40.92,5.69,-0.54,87.5,14.29,85.75,72.71,70.75,81.14,15.0,-8.43,156.5,153.86,44.25,36.86,33.38,42.43,10.88,-5.57,58,84.90909,68.311264,154.02098,1,0.9900072813034058,Spisska
46,50.0,62.5,85.86,79.38,85.71,75.63,0.14,3.75,171.57,155.0,43.36,37.75,43.14,38.88,0.21,-1.13,75.0,55.56,89.25,75.33,79.63,73.44,9.63,1.89,168.88,148.78,47.75,35.22,40.5,39.44,7.25,-4.22,58,83.610435,75.88949,154.99971,1,0.7137700319290161,Iskra Svit
50,16.67,33.33,66.17,69.33,83.83,71.83,-17.67,-2.5,150.0,141.17,31.17,34.67,43.0,32.17,-11.83,2.5,33.33,50.0,66.67,70.5,77.67,62.5,-11.0,8.0,144.33,133.0,29.33,37.0,39.33,28.5,-10.0,8.5,90,60.92239,76.34218,140.13065,2,0.9113339781761169,Valladolid
51,40.0,50.0,73.3,77.2,74.2,76.1,-0.9,1.1,147.5,153.3,36.6,39.0,37.7,36.3,-1.1,2.7,40.0,20.0,70.0,73.4,70.4,79.8,-0.4,-6.4,140.4,153.2,34.6,38.4,31.8,37.2,2.8,1.2,78,75.40985,70.25032,146.08495,1,0.8204267024993896,Clavijo
52,80.0,90.0,80.1,86.1,73.4,72.3,6.7,13.8,153.5,158.4,38.4,43.6,35.6,34.1,2.8,9.5,100.0,80.0,85.2,84.0,72.0,74.4,13.2,9.6,157.2,158.4,40.8,43.2,35.6,35.0,5.2,8.2,78,78.2169,73.85085,154.85437,1,0.9934238195419312,Estela
53,50.0,55.56,71.7,73.0,75.4,70.44,-3.7,2.56,147.1,143.44,34.9,34.44,39.2,34.67,-4.3,-0.22,80.0,60.0,77.2,72.8,75.6,70.0,1.6,2.8,152.8,142.8,36.0,31.8,36.8,34.4,-0.8,-2.6,78,73.827484,74.64565,146.55675,1,0.8072465062141418,Zamora
54,20.0,33.33,69.1,76.56,76.4,79.78,-7.3,-3.22,145.5,156.33,35.1,36.56,36.1,37.56,-1.0,-1.0,40.0,0.0,71.2,74.0,77.0,84.2,-5.8,-10.2,148.2,158.2,34.8,35.4,40.8,40.4,-6.0,-5.0,78,76.78551,74.72321,153.3384,1,0.9850295186042786,UDEA
55,40.0,22.22,73.8,74.44,80.8,80.78,-7.0,-6.33,154.6,155.22,35.6,37.0,40.7,40.56,-5.1,-3.56,60.0,0.0,77.0,72.25,75.2,82.75,1.8,-10.5,152.2,155.0,39.4,35.25,38.8,42.5,0.6,-7.25,78,78.909065,71.27574,150.59892,1,0.9917758703231812,Alcobendas
56,26.67,12.5,63.2,62.06,73.8,78.19,-10.6,-16.13,137.0,140.25,32.6,30.44,37.0,41.5,-4.4,-11.06,50.0,0.0,66.63,56.57,73.75,79.71,-7.13,-23.14,140.38,136.29,35.0,29.0,36.25,42.86,-1.25,-13.86,91,73.81887,61.147896,134.86261,1,0.9865039587020874,Al Qazeres (K)
57,12.5,62.5,61.75,68.44,72.19,61.69,-10.44,6.75,133.94,130.13,34.94,34.44,36.88,31.81,-1.94,2.63,14.29,28.57,60.57,57.29,71.29,63.57,-10.71,-6.29,131.86,120.86,32.86,26.71,38.29,32.14,-5.43,-5.43,91,58.086407,66.98531,131.94313,2,0.9048774242401123,Bembibre (K)
58,80.0,50.0,73.07,65.5,59.0,64.94,14.07,0.56,132.07,130.44,36.13,31.13,28.6,32.94,7.53,-1.81,66.67,28.57,70.5,68.14,58.17,69.0,12.33,-0.86,128.67,137.14,34.0,33.29,26.5,33.14,7.5,0.14,91,69.84522,62.67465,131.73172,1,0.8540277481079102,UNI Girona (K)
59,43.75,93.75,66.25,80.0,67.0,58.0,-0.75,22.0,133.25,138.0,33.19,42.0,34.5,29.56,-1.31,12.44,42.86,100.0,66.86,83.29,69.0,59.0,-2.14,24.29,135.86,142.29,32.43,44.71,33.57,27.86,-1.14,16.86,91,61.954884,82.05663,141.13611,2,0.9895965456962585,Promete (K)
60,93.75,25.0,73.0,69.88,56.5,76.31,16.5,-6.44,129.5,146.19,37.44,34.94,30.38,37.69,7.06,-2.75,100.0,25.0,79.86,71.0,52.43,77.63,27.43,-6.63,132.29,148.63,41.0,36.25,29.57,39.5,11.43,-3.25,91,85.45452,57.512848,140.40186,1,0.996889054775238,Valencia (K)
61,50.0,37.5,68.63,67.38,70.69,73.94,-2.06,-6.56,139.31,141.31,33.0,36.25,35.19,35.81,-2.19,0.44,42.86,25.0,66.29,64.38,69.86,72.75,-3.57,-8.38,136.14,137.13,31.0,34.5,33.29,35.0,-2.29,-0.5,91,69.121,64.579185,135.25047,1,0.8214853405952454,Clarinos (K)
62,66.67,33.33,67.25,63.08,59.67,65.67,7.58,-2.58,126.92,128.75,32.17,31.5,31.25,33.75,0.92,-2.25,83.33,33.33,72.67,67.5,57.67,66.17,15.0,1.33,130.33,133.67,36.0,31.5,30.0,33.33,6.0,-1.83,92,71.85919,61.900494,132.40448,1,0.9796515107154846,Alcobendas (K)
64,72.73,63.64,75.82,72.18,59.45,69.27,16.36,2.91,135.27,141.45,37.45,37.45,30.91,34.55,6.55,2.91,80.0,60.0,77.0,64.6,53.8,67.4,23.2,-2.8,130.8,132.0,37.4,34.4,26.8,33.6,10.6,0.8,1,70.81722,54.55442,128.13304,1,0.8552120923995972,Pruszków (K)
66,75.0,66.67,70.88,69.17,65.5,62.83,5.38,6.33,136.38,132.0,32.13,35.17,31.0,28.67,1.13,6.5,66.67,66.67,65.67,66.67,56.67,63.67,9.0,3.0,122.33,130.33,34.0,30.67,27.67,31.67,6.33,-1.0,13,61.169952,59.390316,123.15232,2,0.8614597916603088,Beira Mar
67,80.0,40.0,84.9,79.6,73.3,74.5,11.6,5.1,158.2,154.1,43.5,39.4,37.2,36.0,6.3,3.4,100.0,40.0,91.5,74.6,67.75,79.0,23.75,-4.4,159.25,153.6,47.25,35.4,32.5,38.4,14.75,-3.0,83,89.18233,66.74717,153.75055,1,0.9958005547523499,Imortal
69,63.64,36.36,77.91,73.0,70.82,81.0,7.09,-8.0,148.73,154.0,37.91,35.09,35.55,41.18,2.36,-6.09,83.33,33.33,81.83,71.0,71.67,80.83,10.17,-9.83,153.5,151.83,39.67,32.5,37.67,41.17,2.0,-8.67,135,84.340965,67.09291,151.4095,1,0.9325962066650391,Dynamo MGTU
70,90.91,20.0,76.82,70.0,68.0,79.2,8.82,-9.2,144.82,149.2,38.09,37.5,36.82,36.8,1.27,0.7,100.0,20.0,75.4,74.4,67.6,89.4,7.8,-15.0,143.0,163.8,38.0,38.4,35.8,42.8,2.2,-4.4,135,85.92681,68.99785,153.16104,1,0.9979311227798462,Tambov
72,15.38,30.77,55.08,60.31,76.31,68.0,-21.23,-7.69,131.38,128.31,28.69,29.23,36.62,35.92,-7.92,-6.69,16.67,33.33,59.0,58.67,77.33,68.33,-18.33,-9.67,136.33,127.0,31.67,28.33,40.67,36.33,-9.0,-8.0,4,65.76765,68.57396,130.75214,1,0.7422335147857666,Maribor (K)
73,100.0,66.67,116.0,111.0,101.5,108.0,14.5,3.0,217.5,219.0,65.0,57.67,47.0,58.0,18.0,-0.33,100.0,50.0,119.0,113.0,114.0,109.5,5.0,3.5,233.0,222.5,68.0,56.0,50.0,62.0,18.0,-6.0,103,111.46765,108.136345,221.30939,1,0.9751670956611633,Brooklyn
