,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,homes,aways,hq1,hq2,hq3,hq4,aq1,aq2,aq3,aq4,league
32,0.0,25.0,80.0,73.25,92.5,81.0,-12.5,-7.75,172.5,154.25,44.0,37.25,48.5,46.0,-4.5,-8.75,84,88,21,26,21,16,23,19,24,22,Basket League
33,100.0,66.67,87.0,76.67,76.0,76.0,11.0,0.67,163.0,152.67,42.0,37.33,39.5,36.0,2.5,1.33,81,66,19,21,22,19,19,13,13,21,BBL
34,88.89,38.46,97.22,76.85,87.33,84.85,9.89,-8.0,184.56,161.69,45.78,38.38,44.56,41.31,1.22,-2.92,102,83,23,26,19,34,29,19,14,21,PLK
35,20.0,88.89,94.5,112.11,102.3,99.78,-7.8,12.33,196.8,211.89,47.4,50.44,49.0,48.56,-1.6,1.89,85,105,22,23,22,18,25,26,17,37,CBA
36,90.0,60.0,116.1,97.1,99.0,95.5,17.1,1.6,215.1,192.6,54.8,46.7,44.2,46.6,10.6,0.1,95,93,28,18,28,21,15,21,31,26,CBA
37,44.44,44.44,112.67,99.11,108.89,103.67,3.78,-4.56,221.56,202.78,56.67,50.44,49.33,53.11,7.33,-2.67,105,110,22,31,20,32,24,26,29,31,CBA
38,88.89,70.0,120.78,102.7,107.0,104.8,13.78,-2.1,227.78,207.5,61.44,48.8,51.89,54.0,9.56,-5.2,115,102,39,21,28,27,32,19,21,30,CBA
39,80.0,0.0,92.0,74.6,77.4,84.2,14.6,-9.6,169.4,158.8,41.4,36.8,40.0,38.0,1.4,-1.2,91,83,21,23,21,26,25,18,24,16,NBB
40,40.0,50.0,78.0,74.13,81.4,74.0,-3.4,0.13,159.4,148.13,43.6,34.5,37.6,36.0,6.0,-1.5,58,83,16,18,12,12,13,17,20,33,Liga Nacional
41,80.0,37.5,82.0,70.5,74.0,75.75,8.0,-5.25,156.0,146.25,40.2,33.25,37.0,37.5,3.2,-4.25,50,65,13,9,14,14,17,17,11,20,Liga Nacional
