,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,homes,aways,hq1,hq2,hq3,hq4,aq1,aq2,aq3,aq4,league
909,40.0,75.0,79.2,94.0,80.6,86.75,-1.4,7.25,159.8,180.75,34.4,46.5,37.6,40.25,-3.2,6.25,,,,,,,,,,,KLS
910,42.86,50.0,76.14,76.17,78.57,77.67,-2.43,-1.5,154.71,153.83,38.14,37.17,37.43,36.83,0.71,0.33,77,70,21,18,20,18,16,23,20,11,KLS
911,60.0,20.0,80.6,76.6,77.6,83.4,3.0,-6.8,158.2,160.0,39.8,36.0,40.0,40.6,-0.2,-4.6,79,67,20,23,19,17,21,16,17,13,KLS
912,40.0,14.29,85.0,77.43,84.6,81.57,0.4,-4.14,169.6,159.0,39.8,44.14,42.2,39.43,-2.4,4.71,100,97,22,20,16,22,31,15,20,14,KLS
913,57.14,14.29,92.43,77.14,90.29,88.57,2.14,-11.43,182.71,165.71,46.57,34.71,42.86,44.71,3.71,-10.0,87,82,33,20,16,18,20,17,23,22,KLS
914,75.0,0.0,85.25,73.25,82.5,90.25,2.75,-17.0,167.75,163.5,41.25,37.75,43.5,44.75,-2.25,-7.0,97,82,23,21,30,23,25,19,24,14,1. SKL
915,100.0,14.29,100.0,79.71,77.17,92.57,22.83,-12.86,177.17,172.29,49.17,41.57,40.33,45.0,8.83,-3.43,105,74,29,27,29,20,18,16,20,20,NBL
916,40.0,0.0,74.8,76.5,90.0,92.67,-15.2,-16.17,164.8,169.17,41.4,38.5,44.6,43.67,-3.2,-5.17,99,91,25,27,23,24,28,22,25,16,NBL
917,100.0,33.33,95.17,81.33,72.67,86.83,22.5,-5.5,167.83,168.17,49.33,45.17,35.17,49.83,14.17,-4.67,93,75,27,18,22,26,13,20,20,22,NBL
918,80.0,33.33,87.2,74.67,80.8,85.0,6.4,-10.33,168.0,159.67,44.2,41.0,46.0,44.33,-1.8,-3.33,83,64,17,23,22,21,22,23,13,6,NBL
919,50.0,0.0,81.67,75.2,83.0,92.6,-1.33,-17.4,164.67,167.8,41.83,39.8,43.17,47.6,-1.33,-7.8,89,73,19,26,21,23,20,17,19,17,NBL
920,60.0,33.33,85.6,79.33,80.4,82.0,5.2,-2.67,166.0,161.33,45.4,41.5,45.2,41.17,0.2,0.33,73,72,20,23,17,13,31,16,16,9,NBL
921,25.0,0.0,75.75,70.0,72.25,94.0,3.5,-24.0,148.0,164.0,38.75,35.4,41.25,48.8,-2.5,-13.4,80,62,19,21,21,19,12,21,12,17,Bundesliga
922,80.0,20.0,93.6,85.4,78.0,87.0,15.6,-1.6,171.6,172.4,48.4,47.0,36.8,38.4,11.6,8.6,94,90,18,27,31,18,19,29,24,18,Bundesliga
923,71.43,57.14,83.86,77.0,72.14,74.71,11.71,2.29,156.0,151.71,43.57,35.86,40.86,39.86,2.71,-4.0,83,77,18,18,21,26,15,21,21,20,Extraliga
924,66.67,66.67,87.67,82.83,78.33,81.67,9.33,1.17,166.0,164.5,47.17,44.33,38.33,41.0,8.83,3.33,92,66,22,26,23,21,14,15,17,20,Extraliga
925,66.67,0.0,79.17,78.67,78.17,92.17,1.0,-13.5,157.33,170.83,42.0,39.17,39.67,48.5,2.33,-9.33,88,78,17,31,22,18,20,16,24,18,Extraliga
926,100.0,0.0,67.5,68.0,63.5,70.0,4.0,-2.0,131.0,138.0,34.0,36.0,33.5,37.0,0.5,-1.0,70,68,21,16,23,10,15,21,11,21,Pro Basketball League
927,33.33,33.33,71.83,78.0,80.5,74.33,-8.67,3.67,152.33,152.33,33.5,41.17,43.5,35.67,-10.0,5.5,62,84,14,15,14,19,23,24,19,18,Super League 1
928,100.0,80.0,88.8,76.2,70.6,72.0,18.2,4.2,159.4,148.2,45.8,35.2,38.4,38.8,7.4,-3.6,77,75,19,21,21,16,21,21,16,17,Super League 1
929,66.67,100.0,86.67,94.0,89.67,77.5,-3.0,16.5,176.33,171.5,44.67,40.5,39.0,30.0,5.67,10.5,79,100,16,14,33,16,27,17,33,23,Ligat Ha'al
930,0.0,33.33,81.25,88.67,90.0,97.0,-8.75,-8.33,171.25,185.67,42.5,43.0,43.5,50.33,-1.0,-7.33,110,102,27,24,26,20,24,23,32,18,Ligat Ha'al
931,50.0,33.33,80.0,83.67,82.0,79.0,-2.0,4.67,162.0,162.67,40.5,42.33,41.5,42.67,-1.0,-0.33,79,76,28,19,13,19,18,21,19,18,Ligat Ha'al
932,40.0,60.0,80.6,79.8,79.8,74.4,0.8,5.4,160.4,154.2,44.0,39.4,37.6,38.8,6.4,0.6,73,78,14,25,17,17,11,21,29,17,Estonya-Letonya Basketbol Ligi
933,100.0,50.0,82.33,81.75,72.5,75.5,9.83,6.25,154.83,157.25,42.33,44.0,35.67,35.25,6.67,8.75,79,74,18,26,19,16,19,17,21,17,Estonya-Letonya Basketbol Ligi
934,20.0,80.0,73.0,83.2,82.0,79.4,-9.0,3.8,155.0,162.6,36.6,41.8,41.8,44.0,-5.2,-2.2,65,70,13,22,14,16,14,16,23,17,Estonya-Letonya Basketbol Ligi
935,100.0,40.0,91.2,77.6,74.8,79.6,16.4,-2.0,166.0,157.2,44.6,36.4,35.2,36.0,9.4,0.4,82,79,13,21,17,31,19,20,12,28,ING BSL
936,20.0,50.0,72.2,81.5,78.6,78.5,-6.4,3.0,150.8,160.0,36.8,38.75,40.4,37.75,-3.6,1.0,59,77,20,17,13,9,17,25,21,14,Euroleague
937,16.67,66.67,79.33,76.17,83.83,70.0,-4.5,6.17,163.17,146.17,40.5,40.17,41.5,36.83,-1.0,3.33,62,73,14,19,15,14,17,22,16,18,Euroleague
938,66.67,16.67,78.17,76.83,73.67,86.17,4.5,-9.33,151.83,163.0,37.0,40.0,35.33,44.33,1.67,-4.33,80,77,15,28,21,16,22,18,24,13,Euroleague
939,83.33,20.0,89.17,76.6,80.17,81.0,9.0,-4.4,169.33,157.6,45.17,41.8,41.33,40.2,3.83,1.6,91,84,19,21,21,30,26,24,20,14,Euroleague
940,0.0,100.0,74.0,79.5,83.0,58.0,-9.0,21.5,157.0,137.5,48.0,45.0,40.5,36.5,7.5,8.5,74,89,25,24,10,15,25,22,24,18,Euroleague (W)
941,50.0,50.0,73.5,81.5,77.0,75.0,-3.5,6.5,150.5,156.5,34.5,47.5,47.0,35.5,-12.5,12.0,70,84,12,25,16,17,22,29,16,17,Euroleague (W)
942,0.0,50.0,73.0,77.5,82.5,76.5,-9.5,1.0,155.5,154.0,39.0,42.5,41.0,33.0,-2.0,9.5,76,85,17,17,19,23,21,21,18,25,Euroleague (W)
943,100.0,0.0,93.5,71.5,66.0,90.0,27.5,-18.5,159.5,161.5,48.5,33.0,32.0,51.0,16.5,-18.0,104,71,29,28,27,20,15,25,19,12,Euroleague (W)
944,66.67,0.0,76.0,71.0,76.33,84.0,-0.33,-13.0,152.33,155.0,35.67,31.5,35.67,43.0,0.0,-11.5,85,81,23,23,15,24,21,18,21,21,Euroleague (W)
945,0.0,100.0,59.5,70.0,65.0,59.5,-5.5,10.5,124.5,129.5,29.5,38.0,32.5,30.0,-3.0,8.0,59,70,16,15,18,10,22,20,10,18,Euroleague (W)
946,100.0,0.0,79.25,68.25,66.25,85.75,13.0,-17.5,145.5,154.0,39.5,29.75,32.25,43.75,7.25,-14.0,85,68,25,19,20,21,11,18,18,21,TBL
947,100.0,0.0,68.0,62.0,62.0,68.0,6.0,-6.0,130.0,130.0,41.0,28.0,28.0,41.0,13.0,-13.0,68,62,18,23,19,8,15,13,23,11,TKBL
948,0.0,100.0,44.0,72.0,72.0,44.0,-28.0,28.0,116.0,116.0,22.0,44.0,44.0,22.0,-22.0,22.0,44,72,4,18,8,14,15,29,16,12,TKBL
949,,,,,,,,,,,,,,,,,,,,,,,,,,,TKBL
950,0.0,100.0,80.0,81.0,81.0,80.0,-1.0,1.0,161.0,161.0,35.0,35.0,35.0,35.0,0.0,0.0,80,81,16,19,15,30,11,24,23,23,TB2L
951,66.67,0.0,97.0,79.5,77.0,106.0,20.0,-26.5,174.0,185.5,51.0,42.0,43.33,52.0,7.67,-10.0,119,73,32,28,32,27,22,15,19,17,BBL
952,100.0,0.0,95.0,80.67,86.0,93.67,9.0,-13.0,181.0,174.33,53.0,35.33,41.5,49.67,11.5,-14.33,89,77,29,19,18,23,14,15,28,20,BBL
953,100.0,0.0,104.0,67.5,76.0,82.5,28.0,-15.0,180.0,150.0,51.0,30.0,39.0,52.0,12.0,-22.0,,,,,,,,,,,BBL
954,40.0,0.0,79.6,75.67,78.6,85.33,1.0,-9.67,158.2,161.0,40.0,39.67,46.6,45.67,-6.6,-6.0,93,80,21,32,16,24,26,22,17,15,Adriatic League
955,66.67,42.86,83.67,88.57,76.33,89.14,7.33,-0.57,160.0,177.71,43.0,42.0,36.78,43.86,6.22,-1.86,98,105,26,28,23,21,25,27,33,20,PLK
956,66.67,25.0,81.67,69.5,72.33,84.75,9.33,-15.25,154.0,154.25,38.33,37.25,39.33,40.25,-1.0,-3.0,91,69,14,34,29,14,13,28,16,12,LEB Oro
957,62.5,57.14,109.38,94.86,101.0,96.86,8.38,-2.0,210.38,191.71,56.0,46.86,49.13,46.86,6.88,0.0,90,93,25,27,10,28,29,19,27,18,CBA
958,12.5,57.14,95.88,103.43,105.5,103.86,-9.63,-0.43,201.38,207.29,45.5,51.57,55.63,51.71,-10.13,-0.14,105,113,29,24,34,18,35,30,30,18,CBA
959,57.14,87.5,99.14,111.13,96.71,96.75,2.43,14.38,195.86,207.88,50.57,56.38,47.71,48.75,2.86,7.63,91,112,25,20,24,22,24,35,23,30,CBA
960,57.14,12.5,96.57,91.88,92.29,107.88,4.29,-16.0,188.86,199.75,48.57,46.75,48.0,49.25,0.57,-2.5,120,88,34,33,27,26,24,35,18,11,CBA
961,66.67,33.33,96.33,76.67,78.67,85.33,17.67,-8.67,175.0,162.0,43.0,34.67,43.33,40.33,-0.33,-5.67,92,79,24,18,25,25,19,19,20,21,NBB
962,33.33,75.0,69.67,83.5,83.0,71.5,-13.33,12.0,152.67,155.0,35.33,43.0,39.33,37.25,-4.0,5.75,63,94,17,18,13,15,18,24,22,30,NBB
963,66.67,0.0,82.0,75.0,76.33,88.75,5.67,-13.75,158.33,163.75,46.0,36.5,36.67,49.5,9.33,-13.0,91,74,26,25,18,22,24,16,16,18,NBB
964,0.0,20.0,75.5,69.4,84.5,80.4,-9.0,-11.0,160.0,149.8,37.25,33.4,40.75,38.0,-3.5,-4.6,,,,,,,,,,,Liga Nacional
965,100.0,100.0,87.75,74.8,78.25,66.6,9.5,8.2,166.0,141.4,43.75,34.6,35.25,34.0,8.5,0.6,,,,,,,,,,,Liga Nacional
966,50.0,50.0,82.75,83.25,80.25,70.5,2.5,12.75,163.0,153.75,45.75,40.25,39.25,32.75,6.5,7.5,,,,,,,,,,,Liga Nacional
967,40.0,50.0,81.6,78.25,85.8,77.5,-4.2,0.75,167.4,155.75,37.6,40.25,42.6,38.0,-5.0,2.25,,,,,,,,,,,Liga Nacional
968,25.0,25.0,70.25,75.75,80.0,95.25,-9.75,-19.5,150.25,171.0,36.75,32.0,39.25,43.25,-2.5,-11.25,,,,,,,,,,,Liga Nacional
969,50.0,20.0,81.75,69.4,72.5,80.4,9.25,-11.0,154.25,149.8,37.25,33.4,35.75,38.0,1.5,-4.6,85,57,20,14,29,22,17,15,7,18,Liga Nacional
970,40.0,100.0,81.6,84.6,85.8,68.6,-4.2,16.0,167.4,153.2,37.6,47.0,42.6,34.2,-5.0,12.8,79,98,17,17,28,17,32,33,24,9,Liga Nacional
971,0.0,75.0,68.67,82.0,82.0,68.5,-13.33,13.5,150.67,150.5,28.67,40.25,44.0,30.0,-15.33,10.25,66,88,12,12,16,26,19,22,30,17,Liga Nacional
972,40.0,0.0,66.8,72.8,76.6,82.6,-9.8,-9.8,143.4,155.4,33.4,35.0,41.4,45.0,-8.0,-10.0,73,61,19,22,14,18,18,13,25,5,Liga Nacional
973,50.0,100.0,74.5,84.0,71.5,66.67,3.0,17.33,146.0,150.67,37.25,41.67,35.0,30.33,2.25,11.33,66,76,16,14,26,10,11,17,24,24,Liga Nacional
974,0.0,100.0,60.0,69.0,69.0,60.0,-9.0,9.0,129.0,129.0,39.0,37.0,37.0,39.0,2.0,-2.0,60,69,23,16,12,9,24,13,16,16,British Basketball League
975,0.0,100.0,59.0,66.0,66.0,59.0,-7.0,7.0,125.0,125.0,35.0,28.0,28.0,35.0,7.0,-7.0,59,66,18,17,15,9,14,14,16,22,British Basketball League
976,100.0,60.0,91.0,84.4,74.2,77.2,16.8,7.2,165.2,161.6,49.4,42.4,37.6,39.2,11.8,3.2,,,,,,,,,,,A1 Liga
977,40.0,40.0,91.4,83.8,81.6,86.6,9.8,-2.8,173.0,170.4,44.6,40.2,41.6,45.2,3.0,-5.0,80,91,16,26,25,13,28,19,21,23,KLS
978,100.0,0.0,91.2,78.0,72.2,91.75,19.0,-13.75,163.4,169.75,41.4,38.25,36.4,46.25,5.0,-8.0,,,,,,,,,,,KLS
979,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro Basketball League
980,100.0,0.0,91.5,75.0,74.5,87.5,17.0,-12.5,166.0,162.5,51.5,31.0,36.5,49.0,15.0,-18.0,89,70,27,24,22,16,13,14,18,25,Pro Basketball League
981,66.67,50.0,82.0,77.25,66.67,84.5,15.33,-7.25,148.67,161.75,42.0,40.0,30.33,36.0,11.67,4.0,,,,,,,,,,,Super League 1
982,0.0,50.0,68.33,82.0,83.33,80.0,-15.0,2.0,151.67,162.0,36.33,40.0,43.0,38.17,-6.67,1.83,64,73,24,13,15,12,22,20,14,17,Super League 1
983,0.0,100.0,66.0,90.4,82.0,66.8,-16.0,23.6,148.0,157.2,34.4,48.6,43.8,33.6,-9.4,15.0,42,86,7,12,15,8,12,22,22,30,Estonya-Letonya Basketbol Ligi
984,83.33,50.0,81.83,70.5,76.67,72.75,5.17,-2.25,158.5,143.25,41.17,37.0,35.67,35.0,5.5,2.0,80,61,20,19,17,24,19,10,9,23,Euroleague
985,25.0,42.86,72.0,70.43,76.5,80.0,-4.5,-9.57,148.5,150.43,35.25,36.14,42.0,41.0,-6.75,-4.86,65,73,14,18,21,12,23,22,8,20,Euroleague
986,50.0,28.57,77.17,73.71,72.67,76.86,4.5,-3.14,149.83,150.57,40.17,36.14,36.17,40.14,4.0,-4.0,81,76,23,18,15,25,20,18,17,21,Euroleague
987,66.67,33.33,82.33,76.83,76.17,85.5,6.17,-8.67,158.5,162.33,42.67,36.0,37.0,42.0,5.67,-6.0,77,80,22,20,18,17,18,12,24,26,Euroleague
988,66.67,40.0,81.0,78.4,79.67,82.0,1.33,-3.6,160.67,160.4,42.0,39.2,39.83,43.2,2.17,-4.0,92,100,21,29,15,27,27,24,32,17,Euroleague
989,33.33,100.0,79.67,91.33,80.67,78.0,-1.0,13.33,160.33,169.33,40.33,52.0,39.0,37.67,1.33,14.33,76,86,23,11,26,16,29,13,24,20,Eurocup
990,0.0,100.0,70.0,80.0,80.0,70.0,-10.0,10.0,150.0,150.0,44.0,40.0,40.0,44.0,4.0,-4.0,70,80,24,20,12,14,27,13,16,24,Euroleague (W)
991,100.0,0.0,80.0,79.0,79.0,80.0,1.0,-1.0,159.0,159.0,34.0,44.0,44.0,34.0,-10.0,10.0,80,79,18,16,24,22,25,19,11,24,Euroleague (W)
992,100.0,0.0,76.0,72.0,72.0,76.0,4.0,-4.0,148.0,148.0,45.0,26.0,26.0,45.0,19.0,-19.0,76,72,20,25,15,16,9,17,25,21,Euroleague (W)
993,50.0,100.0,71.5,94.0,74.0,67.0,-2.5,27.0,145.5,161.0,30.5,40.0,34.0,30.0,-3.5,10.0,67,94,19,11,20,17,21,19,32,22,Euroleague (W)
994,0.0,0.0,60.0,60.0,60.0,60.0,0.0,0.0,120.0,120.0,28.0,23.0,23.0,28.0,5.0,-5.0,69,66,13,15,21,11,11,12,18,19,Euroleague (W)
995,20.0,60.0,78.2,76.0,81.0,75.0,-2.8,1.0,159.2,151.0,33.8,33.4,36.8,36.8,-3.0,-3.4,76,85,19,17,16,24,19,19,14,33,Liga ACB
996,50.0,25.0,82.0,79.75,77.0,97.0,5.0,-17.25,159.0,176.75,41.25,46.25,42.25,45.0,-1.0,1.25,98,74,27,17,30,24,23,21,14,16,Lega Basket Serie A
997,0.0,100.0,72.5,91.5,89.5,62.0,-17.0,29.5,162.0,153.5,36.5,40.5,40.5,35.0,-4.0,5.5,63,93,28,11,15,9,23,12,30,28,BBL
998,62.5,16.67,83.13,78.33,79.63,85.83,3.5,-7.5,162.75,164.17,42.25,36.58,38.63,40.83,3.63,-4.25,85,76,15,23,31,16,23,23,17,13,PLK
999,100.0,42.86,98.38,75.0,75.63,75.29,22.75,-0.29,174.0,150.29,50.63,36.57,36.13,41.14,14.5,-4.57,90,75,22,27,17,24,19,23,14,19,PLK
1000,85.71,36.36,86.43,74.82,79.29,82.91,7.14,-8.09,165.71,157.73,41.29,36.91,39.43,40.0,1.86,-3.09,81,72,19,22,14,26,19,14,19,20,PLK
1001,63.64,50.0,86.55,78.25,82.36,79.25,4.18,-1.0,168.91,157.5,45.27,37.63,40.27,35.25,5.0,2.38,93,78,21,20,22,30,23,26,10,19,PLK
1002,33.33,60.0,96.67,94.6,99.83,91.4,-3.17,3.2,196.5,186.0,46.5,48.8,45.67,47.6,0.83,1.2,84,98,18,13,22,31,29,27,19,23,CBA
1003,50.0,0.0,110.0,92.57,104.5,112.57,5.5,-20.0,214.5,205.14,56.33,44.43,46.33,55.29,10.0,-10.86,133,118,33,39,28,33,22,28,36,32,CBA
1004,40.0,100.0,100.8,127.0,107.4,112.25,-6.6,14.75,208.2,239.25,47.8,59.25,49.8,53.0,-2.0,6.25,91,130,23,19,31,18,31,33,42,24,CBA
1005,80.0,14.29,93.8,100.57,89.0,106.57,4.8,-6.0,182.8,207.14,48.2,47.29,39.6,52.57,8.6,-5.29,102,96,27,28,23,24,10,32,31,23,CBA
1006,66.67,0.0,90.33,75.33,80.0,88.0,10.33,-12.67,170.33,163.33,52.0,35.33,41.0,49.0,11.0,-13.67,105,100,29,27,12,19,32,16,23,16,NBB
1007,33.33,75.0,72.67,88.5,79.33,85.5,-6.67,3.0,152.0,174.0,29.67,43.0,40.33,39.5,-10.67,3.5,64,86,12,17,19,16,24,14,27,21,NBB
1008,0.0,100.0,67.5,88.5,97.5,65.5,-30.0,23.0,165.0,154.0,30.5,48.5,51.0,31.0,-20.5,17.5,62,95,19,10,16,17,27,30,24,14,NBB
1009,100.0,50.0,98.5,83.0,80.5,83.0,18.0,0.0,179.0,166.0,48.0,36.5,45.5,32.5,2.5,4.0,,,,,,,,,,,Liga Nacional
1010,50.0,50.0,81.0,75.5,81.5,78.0,-0.5,-2.5,162.5,153.5,37.0,40.0,34.0,37.0,3.0,3.0,,,,,,,,,,,Liga Nacional
1011,0.0,100.0,70.0,92.5,79.0,79.5,-9.0,13.0,149.0,172.0,31.0,48.0,45.5,42.0,-14.5,6.0,,,,,,,,,,,Liga Nacional
1012,0.0,100.0,68.5,88.0,103.0,67.0,-34.5,21.0,171.5,155.0,40.0,48.5,58.5,30.5,-18.5,18.0,,,,,,,,,,,Liga Nacional
1013,50.0,50.0,81.0,90.0,96.5,84.0,-15.5,6.0,177.5,174.0,37.0,52.0,48.0,46.5,-11.0,5.5,,,,,,,,,,,Liga Nacional
1014,0.0,100.0,82.0,92.0,92.0,82.0,-10.0,10.0,174.0,174.0,37.0,47.0,47.0,37.0,-10.0,10.0,82,92,18,19,26,19,27,20,18,27,British Basketball League
1015,100.0,0.0,88.0,79.0,79.0,88.0,9.0,-9.0,167.0,167.0,38.0,37.0,37.0,38.0,1.0,-1.0,88,79,20,18,17,33,22,15,15,27,British Basketball League
1016,66.67,33.33,78.0,74.0,67.33,78.0,10.67,-4.0,145.33,152.0,42.67,43.33,30.33,40.0,12.33,3.33,63,72,22,15,17,9,21,20,19,12,1. SKL
1017,50.0,0.0,88.75,73.6,82.5,91.4,6.25,-17.8,171.25,165.0,46.0,36.2,44.75,42.0,1.25,-5.8,101,79,15,32,30,24,22,21,13,23,NBL
1018,16.67,50.0,86.5,84.0,89.83,81.0,-3.33,3.0,176.33,165.0,43.17,45.0,49.33,40.0,-6.17,5.0,79,98,11,18,24,26,25,27,27,19,NBL
1019,80.0,16.67,82.4,80.67,74.6,90.5,7.8,-9.83,157.0,171.17,45.4,42.83,40.2,43.17,5.2,-0.33,88,75,25,25,18,20,19,24,16,16,NBL
1020,66.67,0.0,86.17,70.75,80.83,88.5,5.33,-17.75,167.0,159.25,44.83,33.25,39.33,43.75,5.5,-10.5,103,90,32,25,22,24,21,23,22,24,Super League 1
1021,80.0,57.14,90.8,88.14,77.0,85.57,13.8,2.57,167.8,173.71,42.6,47.29,39.8,41.0,2.8,6.29,86,78,20,22,22,22,24,21,17,16,Super League 1
1022,66.67,25.0,89.0,85.75,85.0,89.75,4.0,-4.0,174.0,175.5,47.33,43.0,44.67,43.75,2.67,-0.75,81,86,25,23,15,18,26,16,20,24,Super League 1
1023,60.0,20.0,78.4,77.0,78.4,87.6,0.0,-10.6,156.8,164.6,36.8,37.2,42.4,44.8,-5.6,-7.6,76,70,19,18,22,17,27,12,15,16,ING BSL
1024,60.0,20.0,81.0,76.6,71.4,88.2,9.6,-11.6,152.4,164.8,39.8,39.2,33.2,45.8,6.6,-6.6,83,64,19,24,20,20,17,17,18,12,ING BSL
1025,60.0,0.0,96.8,69.0,88.0,98.0,8.8,-29.0,184.8,167.0,49.2,34.0,45.4,50.5,3.8,-16.5,110,81,23,33,28,26,20,16,23,22,ING BSL
1026,40.0,40.0,84.2,82.6,82.4,83.2,1.8,-0.6,166.6,165.8,39.2,44.8,39.4,41.2,-0.2,3.6,78,95,15,22,19,22,23,23,24,25,ING BSL
1027,60.0,20.0,88.8,80.6,83.0,87.4,5.8,-6.8,171.8,168.0,43.4,41.8,44.8,42.6,-1.4,-0.8,82,86,19,18,12,33,18,25,25,18,ING BSL
1028,50.0,0.0,79.25,74.25,76.5,91.0,2.75,-16.75,155.75,165.25,41.25,42.75,37.0,43.5,4.25,-0.75,87,59,27,20,24,16,16,18,12,13,Eurocup
1029,0.0,100.0,42.0,70.0,70.0,42.0,-28.0,28.0,112.0,112.0,24.0,43.0,43.0,24.0,-19.0,19.0,42,70,11,13,9,9,21,22,11,16,Euroleague (W)
1030,100.0,50.0,91.67,84.0,77.67,82.33,14.0,1.67,169.33,166.33,41.83,37.67,40.33,40.67,1.5,-3.0,92,83,25,15,28,24,19,24,15,25,Liga ACB
1031,50.0,50.0,77.0,84.0,74.5,79.5,2.5,4.5,151.5,163.5,40.75,40.75,39.25,43.25,1.5,-2.5,71,73,33,13,14,11,16,23,19,15,TBL
1032,50.0,0.0,81.0,69.0,83.5,79.0,-2.5,-10.0,164.5,148.0,40.75,36.5,45.5,35.5,-4.75,1.0,87,84,23,14,27,23,24,21,14,25,TBL
1033,14.29,71.43,91.43,103.29,100.29,96.57,-8.86,6.71,191.71,199.86,44.43,51.86,48.86,45.86,-4.43,6.0,98,100,20,25,17,31,28,18,23,24,CBA
1034,50.0,50.0,92.67,101.83,93.0,103.67,-0.33,-1.83,185.67,205.5,45.5,49.33,46.17,51.5,-0.67,-2.17,105,92,31,24,34,16,24,10,26,32,CBA
1035,14.29,14.29,94.57,92.43,104.43,106.14,-9.86,-13.71,199.0,198.57,44.43,45.0,54.29,46.71,-9.86,-1.71,92,84,18,16,29,29,28,20,18,18,CBA
1036,28.57,85.71,95.57,111.0,97.29,97.57,-1.71,13.43,192.86,208.57,46.86,56.0,47.14,49.29,-0.29,6.71,96,102,32,20,22,22,21,24,31,26,CBA
1037,71.43,57.14,112.14,103.43,102.14,99.71,10.0,3.71,214.29,203.14,56.57,52.57,49.29,49.29,7.29,3.29,111,94,25,30,33,23,24,29,18,23,CBA
1038,12.5,87.5,81.5,91.75,91.25,71.25,-9.75,20.5,172.75,163.0,39.5,46.0,42.63,32.63,-3.13,13.38,68,72,19,12,18,19,16,16,20,20,B1 League
1039,50.0,28.57,71.13,79.86,71.0,85.14,0.13,-5.29,142.13,165.0,34.5,39.57,34.25,38.71,0.25,0.86,102,110,24,16,18,22,23,21,18,18,B1 League
1040,54.55,25.0,83.0,68.5,82.36,73.75,0.64,-5.25,165.36,142.25,41.36,33.25,42.0,32.13,-0.64,1.13,87,72,20,28,18,21,18,17,19,18,B1 League
1041,71.43,75.0,90.14,82.0,77.71,74.5,12.43,7.5,167.86,156.5,45.0,40.13,39.29,36.38,5.71,3.75,104,85,25,33,24,22,25,24,14,22,B1 League
1042,33.33,28.57,70.0,72.71,76.11,80.0,-6.11,-7.29,146.11,152.71,33.89,35.0,36.67,39.71,-2.78,-4.71,73,66,14,15,23,21,12,19,20,15,B1 League
1043,50.0,70.0,85.0,77.8,86.0,74.0,-1.0,3.8,171.0,151.8,43.0,36.9,42.83,34.2,0.17,2.7,86,82,19,17,31,19,20,20,20,22,B1 League
1044,11.11,63.64,78.33,79.09,88.89,76.91,-10.56,2.18,167.22,156.0,36.89,37.82,42.78,38.36,-5.89,-0.55,71,72,20,15,18,18,11,20,18,23,B1 League
1045,33.33,11.11,76.17,71.67,81.17,84.89,-5.0,-13.22,157.33,156.56,39.33,33.33,37.17,42.89,2.17,-9.56,77,75,19,17,25,16,24,12,20,19,B1 League
1046,11.11,50.0,73.67,85.0,83.44,82.33,-9.78,2.67,157.11,167.33,36.0,35.83,41.33,41.17,-5.33,-5.33,97,109,23,18,26,29,28,33,,,B1 League
1047,87.5,71.43,78.75,77.0,67.63,73.14,11.13,3.86,146.38,150.14,36.88,32.86,31.25,35.14,5.63,-2.29,60,67,13,9,14,24,17,10,20,20,B1 League
1048,25.0,25.0,73.5,82.25,76.75,86.5,-3.25,-4.25,150.25,168.75,35.75,42.5,37.25,41.25,-1.5,1.25,67,75,19,17,14,17,22,12,14,27,NBB
1049,33.33,0.0,73.67,65.0,80.67,75.33,-7.0,-10.33,154.33,140.33,35.0,30.33,41.0,39.67,-6.0,-9.33,85,78,27,18,23,17,15,22,26,15,NBB
1050,50.0,0.0,81.0,74.0,96.5,84.5,-15.5,-10.5,177.5,158.5,37.0,45.0,48.0,48.0,-11.0,-3.0,,,,,,,,,,,Liga Nacional
1051,0.0,33.33,68.5,81.33,80.5,86.0,-12.0,-4.67,149.0,167.33,28.5,35.67,40.0,44.67,-11.5,-9.0,,,,,,,,,,,Liga Nacional
1052,100.0,66.67,83.0,78.0,68.5,83.0,14.5,-5.0,151.5,161.0,43.5,38.33,27.0,38.33,16.5,0.0,,,,,,,,,,,Liga Nacional
1053,33.33,0.0,80.67,71.0,77.67,87.0,3.0,-16.0,158.33,158.0,38.33,30.0,37.0,49.0,1.33,-19.0,,,,,,,,,,,Liga Nacional
1054,66.67,50.0,88.67,83.0,81.33,83.0,7.33,0.0,170.0,166.0,50.67,36.5,40.67,32.5,10.0,4.0,,,,,,,,,,,Liga Nacional
1055,33.33,100.0,69.67,75.5,72.33,65.5,-2.67,10.0,142.0,141.0,36.67,36.0,36.33,29.5,0.33,6.5,66,73,15,13,12,26,25,13,17,18,BBL Cup
1056,80.0,33.33,92.0,81.33,83.0,88.0,9.0,-6.67,175.0,169.33,49.2,38.5,39.0,45.5,10.2,-7.0,111,96,32,25,29,25,25,18,24,29,A1 Liga
1057,80.0,33.33,91.0,82.5,83.0,91.5,8.0,-9.0,174.0,174.0,48.0,38.0,39.6,47.67,8.4,-9.67,90,97,24,25,26,15,24,20,22,31,KLS
1058,100.0,75.0,81.75,81.25,71.25,69.5,10.5,11.75,153.0,150.75,35.5,39.5,38.75,34.75,-3.25,4.75,73,60,18,13,26,16,16,15,18,11,1. SKL
