,g_hwr,g_awr,g_hspa,g_aspa,g_hrpa,g_arpa,g_hda,g_ada,g_hts,g_ats,g_hhspa,g_haspa,g_hhrpa,g_harpa,g_hhda,g_hada,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,homes,aways,hq1,hq2,hq3,hq4,aq1,aq2,aq3,aq4,league,date
17,100.0,25.0,85.5,62.25,69.5,68.5,16.0,-6.25,155.0,130.75,41.5,31.5,33.0,36.25,8.5,-4.75,100.0,0.0,82.5,65.5,62.5,81.5,20.0,-16.0,145.0,147.0,42.5,33.5,31.5,41.5,11.0,-8.0,80,71,21,22,15,22,18,18,17,18,TB2L,2021-01-06
18,30.0,57.14,76.1,79.43,81.6,78.86,-5.5,0.57,157.7,158.29,39.8,39.43,40.9,37.57,-1.1,1.86,50.0,25.0,82.25,82.25,81.0,86.75,1.25,-4.5,163.25,169.0,42.0,40.75,43.0,39.0,-1.0,1.75,85,81,19,16,19,31,22,22,18,19,Basket League,2021-01-06
19,63.64,46.15,81.0,85.69,76.73,87.15,4.27,-1.46,157.73,172.85,42.0,45.15,38.64,43.15,3.36,2.0,87.5,37.5,82.5,81.25,72.25,84.75,10.25,-3.5,154.75,166.0,43.5,42.88,38.25,42.38,5.25,0.5,65,64,18,15,13,19,24,15,16,9,United League,2021-01-06
20,60.0,45.45,84.0,80.82,79.0,80.64,5.0,0.18,163.0,161.45,41.6,42.0,39.5,41.18,2.1,0.82,60.0,33.33,80.8,81.67,76.8,85.17,4.0,-3.5,157.6,166.83,40.4,44.83,37.8,43.5,2.6,1.33,67,74,18,16,17,16,19,16,18,21,BBL,2021-01-06
21,63.16,38.89,84.68,83.94,76.95,85.11,7.74,-1.17,161.63,169.06,41.42,43.89,36.21,41.06,5.21,2.83,54.55,0.0,84.09,78.4,77.73,87.2,6.36,-8.8,161.82,165.6,43.09,39.2,36.64,41.4,6.45,-2.2,,,29,18,29,20,27,18,21,17,PLK,2021-01-06
22,40.0,66.67,86.2,81.75,88.07,74.58,-1.87,7.17,174.27,156.33,42.67,38.08,43.8,39.42,-1.13,-1.33,62.5,66.67,87.75,78.33,84.5,74.83,3.25,3.5,172.25,153.17,44.25,37.0,41.38,39.5,2.88,-2.5,93,78,26,23,24,20,24,18,20,16,LKL,2021-01-06
23,58.33,53.85,73.42,76.46,71.42,76.0,2.0,0.46,144.83,152.46,35.17,35.77,33.17,37.31,2.0,-1.54,71.43,50.0,74.71,74.33,70.29,74.67,4.43,-0.33,145.0,149.0,35.0,34.67,31.71,37.67,3.29,-3.0,78,73,28,19,14,17,12,18,22,21,NBB,2021-01-05
24,15.38,14.29,74.77,76.29,81.08,88.07,-6.31,-11.79,155.85,164.36,36.31,36.86,39.38,42.57,-3.08,-5.71,28.57,12.5,75.86,77.38,79.14,88.38,-3.29,-11.0,155.0,165.75,36.71,38.38,40.0,43.5,-3.29,-5.13,97,85,20,21,28,28,14,30,18,23,NBB,2021-01-06
25,46.15,28.57,78.92,72.86,83.62,80.36,-4.69,-7.5,162.54,153.21,36.62,34.86,39.0,40.29,-2.38,-5.43,57.14,14.29,80.71,71.0,82.71,82.86,-2.0,-11.86,163.43,153.86,39.43,35.43,38.86,41.86,0.57,-6.43,78,63,19,24,19,16,16,15,21,11,NBB,2021-01-06
26,66.67,0.0,84.0,87.0,76.33,89.0,7.67,-2.0,160.33,176.0,43.33,44.0,38.0,45.0,5.33,-1.0,100.0,0.0,89.0,87.0,77.5,89.0,11.5,-2.0,166.5,176.0,43.0,44.0,40.0,45.0,3.0,-1.0,89,87,19,26,26,18,23,21,30,13,LKF Cup,2021-01-06
27,21.43,6.67,81.29,75.73,86.29,92.27,-5.0,-16.53,167.57,168.0,38.29,37.8,44.79,47.13,-6.5,-9.33,28.57,12.5,82.29,76.63,85.71,93.38,-3.43,-16.75,168.0,170.0,40.86,38.75,41.14,48.75,-0.29,-10.0,87,103,30,19,22,16,26,22,26,29,A1 Liga,2021-01-06
28,76.92,21.43,89.38,79.5,71.46,89.64,17.92,-10.14,160.85,169.14,46.54,40.14,33.54,44.86,13.0,-4.71,85.71,28.57,88.14,78.71,71.43,87.0,16.71,-8.29,159.57,165.71,47.71,38.86,32.29,42.14,15.43,-3.29,,,,,,,,,,,A1 Liga,2021-01-06
29,33.33,86.67,82.27,92.6,83.53,83.87,-1.27,8.73,165.8,176.47,40.4,49.13,41.13,39.73,-0.73,9.4,42.86,87.5,79.29,89.25,77.29,83.0,2.0,6.25,156.57,172.25,35.71,45.38,36.29,41.25,-0.57,4.13,80,87,19,16,20,25,19,20,30,18,KLS,2021-01-06
30,53.85,0.0,74.54,0.0,71.46,20.0,3.08,-20.0,146.0,20.0,38.0,0.0,38.31,20.0,-0.31,-20.0,50.0,0.0,78.83,0.0,77.67,20.0,1.17,-20.0,156.5,20.0,39.33,0.0,40.83,20.0,-1.5,-20.0,20,0,,,,,,,,,1. SKL,
